rho_L1,rho_L2,pressure_L1,shock_rho_L1,front_recall,front_precision,pred_front_frac,exact_front_frac,rho_min,rho_max,p_min,p_max,method,seed,train_sec
0.10955629497766495,0.15994563698768616,0.14132392406463623,0.22158761322498322,0.44664179104477614,0.4869812855980472,0.1500244140625,0.16357421875,0.3841553032398224,1.630820393562317,0.2944091558456421,1.902276873588562,Vanilla PINN,0,175.7627820968628
0.1703157275915146,0.24527060985565186,0.2689604163169861,0.289874404668808,0.5399253731343283,0.5886899918633035,0.1500244140625,0.16357421875,0.5796669125556946,1.4066245555877686,0.5284665822982788,1.4785406589508057,RAR-PINN,0,174.83375930786133
0.13630273938179016,0.19851288199424744,0.17757658660411835,0.3119503855705261,0.4294776119402985,0.46826688364524005,0.1500244140625,0.16357421875,0.30216851830482483,1.6963651180267334,0.24971026182174683,1.9226609468460083,G-PINN-GMM,0,185.08970665931702
0.14207111299037933,0.20145952701568604,0.2022273987531662,0.29255661368370056,0.4003731343283582,0.43653376729048005,0.1500244140625,0.16357421875,0.3765715956687927,1.7557533979415894,0.25915777683258057,1.8713582754135132,Bernstein-OPT,0,177.76345825195312
0.09434404969215393,0.14505085349082947,0.12972727417945862,0.23100349307060242,0.4294776119402985,0.46826688364524005,0.1500244140625,0.16357421875,0.421517550945282,1.6967471837997437,0.28456827998161316,1.939121127128601,Vanilla PINN,1,174.38506364822388
0.1566733717918396,0.23336617648601532,0.21311843395233154,0.34740108251571655,0.26044776119402985,0.2839707078925956,0.1500244140625,0.16357421875,0.37957170605659485,1.6471270322799683,0.29650598764419556,1.7802023887634277,RAR-PINN,1,178.17089700698853
0.13526597619056702,0.19130811095237732,0.16746297478675842,0.29244816303253174,0.45559701492537313,0.4967453213995118,0.1500244140625,0.16357421875,0.36723360419273376,1.6775349378585815,0.28832149505615234,1.941418170928955,G-PINN-GMM,1,187.5646481513977
0.14828121662139893,0.20970946550369263,0.17835605144500732,0.2978166937828064,0.39365671641791045,0.4292107404393816,0.1500244140625,0.16357421875,0.3242708444595337,1.656251311302185,0.2520996928215027,1.8982995748519897,Bernstein-OPT,1,179.23071479797363
0.09568639099597931,0.1430365890264511,0.1319199800491333,0.20445463061332703,0.44029850746268656,0.48006509357200977,0.1500244140625,0.16357421875,0.3990153968334198,1.6985042095184326,0.2724877893924713,1.9162896871566772,Vanilla PINN,2,175.01131343841553
0.17342767119407654,0.2377452552318573,0.12662716209888458,0.27536144852638245,0.41455223880597014,0.45199349064279903,0.1500244140625,0.16357421875,0.4855159521102905,1.3688195943832397,0.561211884021759,1.9060299396514893,RAR-PINN,2,178.2455449104309
0.13541319966316223,0.2047586441040039,0.16072416305541992,0.30871477723121643,0.3977611940298508,0.43368592351505286,0.1500244140625,0.16357421875,0.32566311955451965,1.7036097049713135,0.25568103790283203,1.9091390371322632,G-PINN-GMM,2,186.14697456359863
0.14552123844623566,0.2058066874742508,0.17608289420604706,0.30088678002357483,0.3776119402985075,0.41171684296175753,0.1500244140625,0.16357421875,0.36825716495513916,1.7336235046386719,0.22598908841609955,1.9097254276275635,Bernstein-OPT,2,177.37911748886108
0.1108822226524353,0.15444394946098328,0.15788587927818298,0.2343684881925583,0.43283582089552236,0.47192839707078926,0.1500244140625,0.16357421875,0.42289429903030396,1.6936439275741577,0.30129876732826233,1.9177087545394897,Vanilla PINN,3,173.86283469200134
0.17731598019599915,0.2407141476869583,0.23488536477088928,0.3189680576324463,0.30671641791044774,0.33441822620016276,0.1500244140625,0.16357421875,0.4331483244895935,1.5932239294052124,0.37617263197898865,1.706545352935791,RAR-PINN,3,175.39407539367676
0.1533772051334381,0.2138368785381317,0.19398576021194458,0.3267519176006317,0.4417910447761194,0.4816924328722539,0.1500244140625,0.16357421875,0.349507212638855,1.725091576576233,0.27054324746131897,1.9701244831085205,G-PINN-GMM,3,186.29453086853027
0.14350226521492004,0.1946558952331543,0.1678350269794464,0.27645453810691833,0.491044776119403,0.5353946297803092,0.1500244140625,0.16357421875,0.3421187400817871,1.5995121002197266,0.29758068919181824,1.8712286949157715,Bernstein-OPT,3,178.5186915397644
0.12567639350891113,0.17586517333984375,0.17190024256706238,0.26618820428848267,0.43843283582089554,0.4780309194467046,0.1500244140625,0.16357421875,0.3418998122215271,1.6798245906829834,0.22500784695148468,1.9079797267913818,Vanilla PINN,4,174.28756618499756
0.20345322787761688,0.2743002772331238,0.26981884241104126,0.35440579056739807,0.2593283582089552,0.2827502034174125,0.1500244140625,0.16357421875,0.4502224028110504,1.5085686445236206,0.4161437153816223,1.764319896697998,RAR-PINN,4,175.66219925880432
0.17146813869476318,0.23557938635349274,0.2137633115053177,0.3572990596294403,0.44738805970149254,0.48779495524816924,0.1500244140625,0.16357421875,0.254651814699173,1.665002465248108,0.1901382952928543,1.9057695865631104,G-PINN-GMM,4,185.57775902748108
0.1693476140499115,0.22605395317077637,0.21937915682792664,0.3271997272968292,0.45186567164179103,0.4926769731489015,0.1500244140625,0.16357421875,0.2981421649456024,1.7103947401046753,0.1710767149925232,1.922236680984497,Bernstein-OPT,4,180.17547297477722
